category	repo	stars	note
ai	WxstV2/Roblox-Finite-State-Machine	9	Roblox-Finite-State-Machine
ai	lrre-foss/b2x	4	(B)inary to (X)ML Roblox level converter (RBXL->RBXLX)
ai	skycrown101/npc-sink	3	Roblox NPC life simulator by zones
ai	ZachCurtis/rbxml	3	OOP Roblox Module Scripts for machine learning
ai	Bytebit-Org/roblox-FiniteStateMachine	2	A simple Finite State Machine implementation for Roblox development written using roblox-ts
ai	claylittlehorse/navmesh-tool	2	Roblox plugin for importing and annotating OBJ meshes for use as navigation meshes
ai	CluelessD3v/Sorbet	2	Finite State Machine library for Roblox Luau
ai	GameboyTheDev/Custom-Npc-Docs	2	Documentation for the Roblox plugin "Custom-Npc".
ai	adpena/vertigo-ml	1	Domain-specialized LoRA fine-tuning pipeline for Roblox/Luau code generation on Apple Silicon (MLX)
ai	AlexR32/PathMaker	1	Roblox module for making paths for NPC
ai	Ali-lov3/Custom-PathfindingService	1	Custom PathfindingService for roblox better ( free to use and modfie)
ai	AqwamCreates/Aqwam-Machine-Learning-Library	1	A Machine Learning Library For Roblox
ai	bbartling/maze-algorithm-sandbox	1	Self exploration in geometry algorithms for game dev
ai	cheese696969/Simploid	1	Roblox Module that allows for a cheap replacement of Humanoids for NPCs.
ai	connorabs/Roblox-Network-Pathfinder	1	finds the shortest connection path between two Roblox users using their friend lists
ai	DominikDolphin/PathfindingRoblox	1	A simple tile pathfinding algorithm in Roblox
ai	Elmuti/PfindPlugin	1	Nodegraph pathfinding plugin tools for Roblox studio. Allows you to create and edit nodegraphs, and comes with a Pathfinding API that utilizes the A-Star alg...
ai	fetchloop/AStateMachine	1	A modular and easily expadable state machine and state manager for Roblox.
ai	FlowAshley/Priority3	1	Priority based state machine for Roblox
ai	FutrScance/Matrix-Based-Neural-Network-Library	1	A Neural Network Library for Roblox based on Matrix Mathematics
ai	ItsPingOfficial/ChronoState	1	A coroutine-aware, asynchronous-first state machine module for Roblox!
ai	NotKisoMomo/Moody	1	Moody is a hierarchical state machine library for Roblox. It provides a fluent builder API, wrapped thenables, middleware, state tagging, and Schema-backed r...
ai	oohypr/RigWrap-Official-Documentation	1	RigWrap - Roblox Plugin for NPCs
ai	OwkDevs/RoState	1	A finite state machine useful for managing and organizing game states within Roblox Studio projects.
ai	piercethehenry/State-Machine	1	A state machine framework for ROBLOX LuaU.
ai	sheepish12/StateMachine	1	Implementation of the finite-state machine model
ai	sprakiles/Profanity-detector	1	profanity detector with machine learning to get hidden ones better than normal roblox detection
ai	SubParSuperCar/rbx-cuboid	1	A Roblox Luau class for representing 3D cuboids.
ai	TheOfficialFurkanNar/ProjectBob	1	Finite State Machine on Roblox
ai	trashpanda027/StateMachine	1	This is a simple state machine for Roblox.
aitools	kennyzir/7deer_skills	318	Composable, auditable Agent Skills for building Roblox game sites—from opportunity and keyword research to content, SEO, updates, and backlinks.
aitools	sebattfg/ZeroScript-Free	280	ZeroScript Free: Turn ChatGPT, DeepSeek, Gemini, Kimi, GLM, Qwen, Arena or Meta AI into a Roblox Studio agent. Browser extension + local bridge. Read/edit sc...
aitools	Claude-Reverser/MCP-Sploit	238	Drive Roblox's Luau VM from Python or MCP via the macsploit dylib
aitools	ZubeidHendricks/roblox-studio-mcp-claude-code	40	roblox-studio-mcp-claude-code
aitools	NikitaMihailovs/RobloxAI	20	The project for creating, training and use AI in Roblox Studio.
aitools	sentinelcore/roblox-skills	16	Roblox development skills for Claude Code and other AI agents
aitools	BetterAgeVerify/BetterAgeVerify	13	Privacy-first, open-source AI for accurate facial age verification and child-safe identity checks.
aitools	boatbomber/Roblox-Docs-AI-Search	13	AI vector embeddings of Roblox informational documents for semantic search
aitools	dmae97/roblox-studio-mcp-server-updated	13	Updated version of the Roblox Studio MCP Server with improvements
aitools	ConcordDev/concord-cognitive-engine	12	AI that shows its receipts — a verified-compute knowledge engine fused with a creator-economy world platform, with a layer that audits and repairs itself. Wo...
aitools	idiomic/Roblox_Sword_Fighting_AI	11	A Q-Learner swording fighting AI
aitools	lmgame-org/ai-space-escape-engine	9	This repo is a (Roblox) artifact of the following paper — GameArena: Evaluating LLM Reasoning through Live Computer Games [ICLR 2025]
aitools	WxstV2/robloxstudio-mcp	9	robloxstudio-mcp
aitools	zakrievahmed129-lgtm/VisionPro-Assistant	9	💎 Antigravity AI: Ultra-fast Vision Pro inspired spatial assistant for Roblox Developers. Powered by Groq & Llama 3.3. Analyze your scripts in 0.5s with inst...
aitools	krishsharma-code/krishsharma-code	8	Computer Engineering Student @ DSEU / Lead Developer @ VS Gaming Studio / Building AI-Driven Web Solutions & Python Scripts 🚀
aitools	JavaFXpert/roblox-gpt3-game	7	Roblox game that leverages GPT-3
aitools	Tokyo17S0/rbx-enforcement-ban-tool	7	Enforcement Ban Tool by RoAppeal is a self-hosted Bun and TypeScript app for managing Roblox enforcement ban appeals from a local dashboard. It monitors appe...
